ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-08-26,JTMEB3FV2RD217690,2024,RAV4 Prime XSE,,False,Factory to port,50899,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,166,Freeway Toyota of Hanford,https://www.freewaytoyota.com,False,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-08-27,JTMEB3FV0RD218806,2024,RAV4 Prime XSE,,False,Factory to port,51323,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,17,Longo Toyota,https://www.longotoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather Package
2024-08-28,JTMEB3FV0RD218854,2024,RAV4 Prime XSE,,False,Factory to port,51238,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,4,Toyota of Glendale,https://www.toyotaofglendale.com,True,50 State Emissions | Blackout Emblem Overlays[installed_msrp] | Carpet Mat Package[installed_msrp] | Mudguards[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather Package
2024-08-29,JTMEB3FV3RD217892,2024,RAV4 Prime XSE,,False,Factory to port,51077,Silver Sky Metallic/Midnight Black Metallic Roof,Black Mixed Media,10,Toyota of Downtown LA,https://www.toyotaofdowntownla.com,False,50 State Emissions | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Carpet Mat Package[installed_msrp] | Door Sill Protectors[installed_msrp] | Mudguards[installed_msrp] | Owner's Portfolio | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package
2024-08-29,JTMEB3FV3RD218086,2024,RAV4 Prime XSE,,False,Factory to port,51587,Blueprint/Midnight Black Metallic Roof,Black Mixed Media,37,Toyota of Orange,https://www.toyotaoforange.com,True,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | Door Edge Guards[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package"
2024-08-29,JTMEB3FV3RD218492,2024,RAV4 Prime XSE,,False,Factory to port,50528,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,16,Marina del Rey Toyota,https://www.marinadelreytoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Body Side Moldings[installed_msrp] | KARR Security System | Portfolio Appearance Protection | Portfolio SafeCat | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Weather Package
2024-08-29,JTMEB3FV4RD218131,2024,RAV4 Prime XSE,,False,Factory to port,51233,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,22,South Bay Toyota,https://www.southbaytoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Alloy Wheel Locks[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Special Color | Weather Package
2024-08-29,JTMEB3FV6RD218177,2024,RAV4 Prime XSE,,False,Factory to port,50459,Wind Chill Pearl/Midnight Black Metallic Roof [extra_cost_color],Black Mixed Media,43,South Coast Toyota,https://www.southcoasttoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Owner's Portfolio | Rear Outboard Heated Seating | Special Color | Weather Package
2024-08-29,JTMEB3FV7RD217894,2024,RAV4 Prime XSE,,False,Factory to port,51252,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,4,Toyota of Glendale,https://www.toyotaofglendale.com,True,"50 State Emissions | All-Weather Liner Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Mudguards[installed_msrp] | Paint Protection Film (Hood, Fenders, Mirror Backs & Door Cups)[installed_msrp] | Quick Charge Cable Package[installed_msrp] | Rear Bumper Applique[installed_msrp] | Rear Outboard Heated Seating | Roof Rack Cross Bars[installed_msrp] | Weather Package"
2024-08-29,JTMEB3FV8RD218245,2024,RAV4 Prime XSE,,False,Factory to port,50034,Magnetic Gray Metallic/Midnight Black Metallic Roof,Black Mixed Media,43,South Coast Toyota,https://www.southcoasttoyota.com,True,50 State Emissions | All-Weather Liner Package[installed_msrp] | Owner's Portfolio | Rear Outboard Heated Seating | Weather Package
